게임명_KR,유튜브링크
XX 물류센터,https://youtu.be/aB-A9JVJ6GQ
해변의 귓방망이,https://youtu.be/5JCxRpG8_l8
할로원더밴드,https://youtu.be/bALVIDCdFQ4
데블위딘:삿갓,https://www.youtube.com/watch?v=Pe6jaUTQJnE&t
언더스티드: 과거에서 온 편지,https://www.youtube.com/watch?v=bXNHDgN6wa0
노 플레이어스 온라인,https://www.youtube.com/watch?v=6YG2TuE3PLA
검을 잃어버리다,https://www.youtube.com/watch?v=T8Jd1IhqlWc
NODE 안타리의 마지막 호의,https://www.youtube.com/watch?v=gR3HKi8uSmY
Silent Trip,https://youtu.be/7T8eKyze1No?si=iE9b0oTazRKHSXYu
Chord: The Loudest Hero,https://youtu.be/BtMyIfp0_K0
아노타,https://youtu.be/u7kzJVrbm00
달밤포차,https://youtu.be/o0N9f1COIs4
WINDER,https://youtu.be/ssgIBX0luno?feature=shared
허미트 컴퓨터,https://youtu.be/j8Ox6n34ZKQ
Shrink Rooms,https://www.youtube.com/watch?v=5jRsTDdWovk&ab_channel=GamerLinear
Le Dernier Courrier,https://www.youtube.com/watch?v=fVAB0uLb5Qo
안녕서울:이태원편,https://www.youtube.com/watch?v=eRdjzsK-7co
KAGE~Shadow of the Ninja - Reborn,https://www.youtube.com/watch?v=uEVIW-CriKw&lc=UgzpccMsPkrLOsgCxTt4AaABAg
미제사건은 끝내야 하니까,https://youtu.be/KvYR7LhjKwQ
GREAT TOY SHOWDOWN,https://www.youtube.com/watch?v=1MPERdDBWQI
니엔텀 - Op. ZERO,https://youtu.be/buiaQjiiHSg
타이니카페,https://youtu.be/0zLvl86m72o
스테퍼 리본,https://youtu.be/LyQSzRJiyvg
지친 남자,https://www.youtube.com/watch?v=_G8ZW4mvJFA
마스터 피스,https://youtu.be/qjm6Ndq24SY
셰이프 오브 드림,https://www.youtube.com/watch?v=06BleIXLDC4
소희,https://youtu.be/KxUo-YkO_GQ
With My Past,https://youtu.be/DQKsJ6ZjR7Q
더 지니어스 햄스터,https://youtu.be/X6cNfXn0g_w
대환장 게임즈,https://youtu.be/Ii6TCPh--Ms?si=Xz0kCXM6wdt_X8Bs
고수아비,https://www.youtube.com/watch?v=dg786Ony_9Q
A Space for the Unbound,https://youtu.be/9WYgztuR_Oc
Slave Zero X,https://www.youtube.com/watch?v=z4GSxUbttew
고스티드,https://youtu.be/ouXYZTU6HOg
콜드라인,https://www.youtube.com/watch?v=4XeVVo1B1GE&ab_channel=SUPERDIVORCE
Viewfinder,https://www.youtube.com/watch?v=uk8_FUIJh7Q
Dungeon Drafters,https://youtu.be/n4XBV98V0ic
파이널나이트,https://youtu.be/JP5hBRr5cAo
세그먼트 트윈즈,https://youtu.be/cKzQ_4Co660
"기사 술집 싸우다, 격투하다",https://www.youtube.com/watch?v=GvfPRgM11U8
Cryptid Time,https://www.youtube.com/watch?v=Frf05qlIslw&feature=youtu.be
Spready,https://youtu.be/PIf-NrlNuTw
사람 속에 피는 꽃,https://youtu.be/Gn_o65hTQwk
키키캐키캡,https://www.youtube.com/watch?v=5lqkSWGyDY8
HYNPYTOL,https://youtu.be/AnN--hKkoEE
Card Shark,https://www.youtube.com/watch?v=RImi-QD1JRU&t=11s
오구와 비밀의 숲,https://youtu.be/fIQj1OOb3hg
모스,https://www.youtube.com/watch?v=v008Vs-4u84
Coffee Talk Episode 2: Hibiscus & Butterfly,https://www.youtube.com/watch?v=0qCE1S4i90s
Wrestledunk Sports,https://www.youtube.com/watch?v=08QVHd4kV9s
Lo-Fi Room,https://youtu.be/4mbO74Z2Y0E
샴블즈,https://youtu.be/sNTtz3dylfk?si=A6MapNYGlc5S0Zep
비포 더 나이트,https://youtu.be/jd9VgRxzMtc
이나리,https://youtu.be/3Z_R0cPYhxY
Fatherhood,https://youtu.be/1OGRH0eie4I
Pa!nt,https://www.youtube.com/watch?v=CgvrIwttmtI
MIRAY,https://youtu.be/lslG5mKHKxM
Inked,https://www.youtube.com/watch?v=jIwZPzUx8oU
Labyrinth City,https://www.youtube.com/watch?v=H_mk3a9mdMI
탠덤 : 그림자 이야기,https://youtu.be/eQ2LYyOUYVA
Arrog,https://www.youtube.com/watch?v=Rwv9411qejM&t=28s
Lamentum,https://youtu.be/_qTuCr3v8-Y
Box It Up! Inc.,https://youtu.be/Q1vA24bnPf4
Cyber Manhunt,https://www.youtube.com/watch?v=fFoJCtQ1guU
당신의 안녕을 위하여,https://youtu.be/7n9E4EPFqYM
ROLL,https://youtu.be/3ORDuYjEdQg
Ready Action,https://youtu.be/GqYQt6DiebI
가짜하트 : 이상한 앨리스와 나라,https://www.youtube.com/watch?v=-5xnZYxWw2M
Neversong,https://youtu.be/u16GvGBVr0E
Smelter,https://www.youtube.com/watch?v=E0ycMTEIbWQ
Time Rift: Escape From Speedjail,https://www.youtube.com/watch?v=5vfB1NFLvHI
체이싱 라이트,https://youtu.be/qSw29CyiWzw
더웨이크,https://youtu.be/oQZI8kTqobw
Dungeon and Puzzles,https://youtu.be/W4crpcboF60
Fight of Animals,https://youtu.be/qCf4LPxstdY
Ikai,https://youtu.be/L1wgKCysTB8
MazM: 페치카,https://youtu.be/V2o0hJp6qeQ
리플이펙트,https://www.youtube.com/watch?v=T6xy7SpR2N8
산나비,https://www.youtube.com/watch?v=wZ6wx0rSL8M
프로젝트 해님이,https://youtu.be/BLbVNGXBKd4
구스글,https://youtu.be/fCNafry0AsI
아이스크림 트럭,https://youtu.be/9bU7qIQXv4o
복셀헌트,https://youtu.be/cdzPk5aDtPc
Cobble & Trouble,https://www.youtube.com/watch?v=aAxBn_oq9kA
Sea Salt,https://www.youtube.com/watch?v=Gw4sSbOO7s4
Frincess&Cnight,https://www.youtube.com/watch?v=VrWw82WTTtc
스컬,https://youtu.be/_aQb9Aaza-4
RP6,https://youtu.be/S4QSd5LFPkU
언폴디드 : 동백이야기,https://youtu.be/_MAwzZQkIc4
온슬롯카,https://www.youtube.com/watch?v=sK0sv8ttHms
The Last Bug,https://www.youtube.com/watch?v=vsz3NjNwvIg
래트로폴리스,https://www.youtube.com/watch?v=oHmB7AHKNnc
Aurore,https://youtu.be/x_EOYEIJ7N8
프로스토리,https://youtu.be/o7qPCvg14A8
귀 없는 마을,https://youtu.be/P1zbuJ_xG2o
Wattam,https://www.youtube.com/embed/mctYTz6wVsQ
She and The Light Bearer,https://www.youtube.com/embed/NHfO2Zuubi0
Songbird Symphony,https://www.youtube.com/embed/Hp0LwefwMnE
업슨넫됴,https://www.youtube.com/embed/_SjO8-C1RdQ
MazM: 오페라의 유령,https://www.youtube.com/watch?v=5EVmwHTaflA
컬러즐,https://www.youtube.com/watch?v=pV2AyKd4bOQ
Bossgard,https://www.youtube.com/embed/wW2c5FcIt50
Muse Dash,https://www.youtube.com/embed/68jXkfQBZh4
Yonder: The Cloud Catcher Chronicles,https://youtu.be/Ovf-gvSt2pY
Old Man's Journey,https://youtu.be/tJ29Ql3xDhY
The Gardens Between,https://youtu.be/OmBXEGmQ_og
Eden Obscura,https://youtu.be/SmFeQcsl8Ro
Agatha Knife,https://youtu.be/JrvVGJBLenI
큐비 어드벤처,https://youtu.be/b4fcrdxWCfE
Roof Rage,https://youtu.be/VaynwYlVPuc
리듬 닥터,https://www.youtube.com/watch?v=cZrZ3vhsDPk
컬러레인,https://youtu.be/AqJlvKDAr8A
Enter the Gungeon,https://youtu.be/rKf7kzaGe80
Earth Atlantis,https://youtu.be/CFDcxJC1jyA
Black The Fall,https://youtu.be/WA_-3SfZBbA
A Tiny Escape,https://youtu.be/teRFo9OqSX8
Replica,https://youtu.be/t89827KOBdY
반격유희,https://youtu.be/lZxbtdnSckA
Sentris,https://youtu.be/z4r0mJtNENc
Pavilion,https://youtu.be/rUWcvLQf194
Nom Nom Galaxy,https://www.youtube.com/watch?v=I9AsQOPw9Lk
아미 앤 스트레테지: 십자군,https://youtu.be/XO6BjYUhV2o
Thumper,https://www.youtube.com/watch?v=R1p4rwSnaXM
Arena Gods,https://www.youtube.com/watch?v=XjK9rK8qLg8
